source_id,source_name,iso3_country,sector,subsector,start_time,end_time,source_type,capacity,capacity_factor,activity,co2_emissions_factor,ch4_emissions_factor,n2o_emissions_factor,co2_emissions,ch4_emissions,n2o_emissions,total_co2e_20yrgwp,created_date,modified_date,total_co2e_100yrgwp
8320934,Ablekuma North,GHA,forestry-and-land-use,net-forest-land,2016-01-01 00:00:00,2016-12-31 00:00:00,,,,,,,,medium,,,medium,2023-11-15 00:00:00,,medium
8320934,Ablekuma North,GHA,forestry-and-land-use,net-forest-land,2017-01-01 00:00:00,2017-12-31 00:00:00,,,,,,,,medium,,,medium,2023-11-15 00:00:00,,medium
8320934,Ablekuma North,GHA,forestry-and-land-use,net-forest-land,2018-01-01 00:00:00,2018-12-31 00:00:00,,,,,,,,medium,,,medium,2023-11-15 00:00:00,,medium
8320934,Ablekuma North,GHA,forestry-and-land-use,net-forest-land,2019-01-01 00:00:00,2019-12-31 00:00:00,,,,,,,,medium,,,medium,2023-11-15 00:00:00,,medium
8320934,Ablekuma North,GHA,forestry-and-land-use,net-forest-land,2020-01-01 00:00:00,2020-12-31 00:00:00,,,,,,,,medium,,,medium,2023-11-15 00:00:00,,medium
8320934,Ablekuma North,GHA,forestry-and-land-use,net-forest-land,2021-01-01 00:00:00,2021-12-31 00:00:00,,,,,,,,medium,,,medium,2023-11-15 00:00:00,,medium
8320934,Ablekuma North,GHA,forestry-and-land-use,net-forest-land,2022-01-01 00:00:00,2022-12-31 00:00:00,,,,,,,,medium,,,medium,2023-11-15 00:00:00,,medium
8320935,Ablekuma West,GHA,forestry-and-land-use,net-forest-land,2016-01-01 00:00:00,2016-12-31 00:00:00,,,,,,,,medium,,,medium,2023-11-15 00:00:00,,medium
8320935,Ablekuma West,GHA,forestry-and-land-use,net-forest-land,2017-01-01 00:00:00,2017-12-31 00:00:00,,,,,,,,medium,,,medium,2023-11-15 00:00:00,,medium
8320935,Ablekuma West,GHA,forestry-and-land-use,net-forest-land,2018-01-01 00:00:00,2018-12-31 00:00:00,,,,,,,,medium,,,medium,2023-11-15 00:00:00,,medium
8320935,Ablekuma West,GHA,forestry-and-land-use,net-forest-land,2019-01-01 00:00:00,2019-12-31 00:00:00,,,,,,,,medium,,,medium,2023-11-15 00:00:00,,medium
8320935,Ablekuma West,GHA,forestry-and-land-use,net-forest-land,2020-01-01 00:00:00,2020-12-31 00:00:00,,,,,,,,medium,,,medium,2023-11-15 00:00:00,,medium
8320935,Ablekuma West,GHA,forestry-and-land-use,net-forest-land,2021-01-01 00:00:00,2021-12-31 00:00:00,,,,,,,,medium,,,medium,2023-11-15 00:00:00,,medium
8320935,Ablekuma West,GHA,forestry-and-land-use,net-forest-land,2022-01-01 00:00:00,2022-12-31 00:00:00,,,,,,,,medium,,,medium,2023-11-15 00:00:00,,medium
8320901,Abuakwa North,GHA,forestry-and-land-use,net-forest-land,2016-01-01 00:00:00,2016-12-31 00:00:00,,,,,,,,medium,,,medium,2023-11-15 00:00:00,,medium
